ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「I like dogs.」の意味として正しいものを1つ選ぼう。	わたしは いぬが すきです。
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「わたしは いぬが すきです。」を英語で表すとどれ？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	わたしは いぬが すきです。 に当てはまる英語は？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「I like dogs.」は 日本語で なんという？	わたしは いぬが すきです。
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「わたしは いぬが すきです。」は 英語で なんという？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「I like dogs.」の意味として正しいものを1つ選ぼう。	わたしは 犬が すきです。
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「わたしは 犬が すきです。」を英語で表すとどれ？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「I like apples.」の意味として正しいものを1つ選ぼう。	わたしは りんごが すきです。
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「わたしは りんごが すきです。」を英語で表すとどれ？	I like apples.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	わたしは 犬が すきです。 に当てはまる英語は？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	わたしは りんごが すきです。 に当てはまる英語は？	I like apples.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「I like dogs.」は 日本語で なんという？	わたしは 犬が すきです。
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「わたしは 犬が すきです。」は 英語で なんという？	I like dogs.
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「I like apples.」は 日本語で なんという？	わたしは りんごが すきです。
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「わたしは りんごが すきです。」は 英語で なんという？	I like apples.
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「dog」の意味として正しいものを1つ選ぼう。	いぬ
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「いぬ」を英語で表すとどれ？	dog
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	いぬ に当てはまる英語は？	dog
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「dog」は 日本語で なんという？	いぬ
ENGLISH_G3_1	/problem-illustrations/english-dog.webp	「いぬ」は 英語で なんという？	dog
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「apple」の意味として正しいものを1つ選ぼう。	りんご
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「りんご」を英語で表すとどれ？	apple
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	りんご に当てはまる英語は？	apple
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「apple」は 日本語で なんという？	りんご
ENGLISH_G3_1	/problem-illustrations/english-apple.webp	「りんご」は 英語で なんという？	apple
